,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,85250,571,2,2,1.0,0,0,0,5,2012
0,85250,523,1,3,0.3333333333333333,0,0,0,6,2012
0,85250,579,0,1,0.0,0,0,1,11,2012
0,85400,613,1,1,1.0,0,0,0,7,2012
0,85400,563,1,1,1.0,0,0,0,8,2012
0,85410,579,0,1,0.0,0,0,1,11,2012
0,85440,523,0,1,0.0,0,0,0,6,2012
0,86001,318,0,1,0.0,0,0,0,1,2012
0,86001,334,1,2,0.5,0,0,0,2,2012
0,86001,378,0,1,0.0,0,0,0,9,2012
0,86001,304,0,1,0.0,0,0,0,10,2012
0,86001,330,1,1,1.0,0,0,1,11,2012
0,86219,334,0,2,0.0,0,0,0,2,2012
0,86320,318,1,2,0.5,0,0,0,1,2012
0,86320,334,1,2,0.5,0,0,0,2,2012
0,86320,355,1,2,0.5,0,0,0,3,2012
0,86320,371,2,3,0.6666666666666666,0,0,0,4,2012
0,86320,352,6,7,0.8571428571428571,0,0,0,5,2012
0,86320,366,5,6,0.8333333333333334,0,0,0,6,2012
0,86320,317,10,11,0.9090909090909091,0,0,0,7,2012
0,86320,283,7,8,0.875,0,0,0,8,2012
0,86320,378,3,4,0.75,0,0,0,9,2012
0,86320,304,11,11,1.0,0,0,0,10,2012
0,86320,330,2,6,0.3333333333333333,0,0,1,11,2012
0,86568,318,1,3,0.3333333333333333,0,0,0,1,2012
0,86568,334,2,5,0.4,0,0,0,2,2012
0,86568,355,2,6,0.3333333333333333,0,0,0,3,2012
0,86568,371,4,7,0.5714285714285714,0,0,0,4,2012
0,86568,352,6,10,0.6,0,0,0,5,2012
0,86568,366,3,10,0.3,0,0,0,6,2012
0,86568,317,5,13,0.38461538461538464,0,0,0,7,2012
0,86568,283,0,1,0.0,0,0,0,8,2012
0,86568,378,5,10,0.5,0,0,0,9,2012
0,86568,304,4,4,1.0,0,0,0,10,2012
0,86568,330,1,1,1.0,0,0,1,11,2012
0,86568,303,1,2,0.5,0,0,0,12,2012
0,86569,318,0,1,0.0,0,0,0,1,2012
0,86569,352,3,5,0.6,0,0,0,5,2012
0,86569,366,2,3,0.6666666666666666,0,0,0,6,2012
0,86569,317,3,3,1.0,0,0,0,7,2012
0,86569,283,2,2,1.0,0,0,0,8,2012
0,86569,304,3,3,1.0,0,0,0,10,2012
0,86569,330,0,1,0.0,0,0,1,11,2012
0,86569,303,0,1,0.0,0,0,0,12,2012
0,86571,334,2,5,0.4,0,0,0,2,2012
0,86571,355,1,2,0.5,0,0,0,3,2012
0,86571,352,0,1,0.0,0,0,0,5,2012
0,86571,366,4,5,0.8,0,0,0,6,2012
0,86571,317,2,2,1.0,0,0,0,7,2012
0,86571,283,1,2,0.5,0,0,0,8,2012
0,86571,378,0,2,0.0,0,0,0,9,2012
0,86571,330,1,2,0.5,0,0,1,11,2012
0,86571,303,0,1,0.0,0,0,0,12,2012
0,86573,318,2,2,1.0,0,0,0,1,2012
0,86573,355,0,1,0.0,0,0,0,3,2012
0,86573,371,0,1,0.0,0,0,0,4,2012
0,86573,352,1,3,0.3333333333333333,0,0,0,5,2012
0,86573,317,0,5,0.0,0,0,0,7,2012
0,86573,283,0,1,0.0,0,0,0,8,2012
0,86573,378,0,4,0.0,0,0,0,9,2012
0,86573,304,2,3,0.6666666666666666,0,0,0,10,2012
0,86573,330,4,4,1.0,0,0,1,11,2012
0,86573,303,1,3,0.3333333333333333,0,0,0,12,2012
0,86749,366,1,1,1.0,0,0,0,6,2012
0,86757,318,5,5,1.0,0,0,0,1,2012
0,86757,334,1,1,1.0,0,0,0,2,2012
0,86757,355,5,7,0.7142857142857143,0,0,0,3,2012
0,86757,371,5,6,0.8333333333333334,0,0,0,4,2012
0,86757,352,2,4,0.5,0,0,0,5,2012
0,86757,366,3,4,0.75,0,0,0,6,2012
0,86757,317,6,9,0.6666666666666666,0,0,0,7,2012
0,86757,283,3,3,1.0,0,0,0,8,2012
0,86757,378,3,5,0.6,0,0,0,9,2012
0,86757,330,1,2,0.5,0,0,1,11,2012
0,86757,303,1,2,0.5,0,0,0,12,2012
0,86865,318,3,6,0.5,0,0,0,1,2012
0,86865,334,1,7,0.14285714285714285,0,0,0,2,2012
0,86865,355,2,2,1.0,0,0,0,3,2012
0,86865,371,4,4,1.0,0,0,0,4,2012
0,86865,352,1,2,0.5,0,0,0,5,2012
0,86865,366,2,3,0.6666666666666666,0,0,0,6,2012
0,86865,317,1,1,1.0,0,0,0,7,2012
0,86865,283,7,9,0.7777777777777778,0,0,0,8,2012
0,86865,378,3,5,0.6,0,0,0,9,2012
0,86865,304,1,3,0.3333333333333333,0,0,0,10,2012
0,86865,330,3,6,0.5,0,0,1,11,2012
0,86865,303,1,1,1.0,0,0,0,12,2012
0,86885,371,2,3,0.6666666666666666,0,0,0,4,2012
0,86885,303,1,1,1.0,0,0,0,12,2012
0,91001,144,0,1,0.0,0,0,0,1,2012
0,91263,141,0,1,0.0,0,0,0,3,2012
0,94001,34,1,1,1.0,0,0,0,10,2012
0,94343,42,1,1,1.0,0,0,0,8,2012
0,95001,129,2,5,0.4,0,0,0,1,2012
0,95001,90,0,8,0.0,0,0,0,2,2012
0,95001,91,2,2,1.0,0,0,0,3,2012
0,95001,99,2,3,0.6666666666666666,0,0,0,4,2012
0,95001,110,3,4,0.75,0,0,0,5,2012
0,95001,82,3,3,1.0,0,0,0,6,2012
0,95001,111,5,8,0.625,0,0,0,7,2012
0,95001,104,4,5,0.8,0,0,0,8,2012
0,95001,96,1,4,0.25,0,0,0,9,2012
0,95001,99,5,15,0.3333333333333333,0,0,0,10,2012
0,95001,100,1,1,1.0,0,0,1,11,2012
0,95001,92,0,3,0.0,0,0,0,12,2012
0,95015,129,0,2,0.0,0,0,0,1,2012
0,95015,110,1,2,0.5,0,0,0,5,2012
0,95025,110,2,2,1.0,0,0,0,5,2012
0,95025,82,0,1,0.0,0,0,0,6,2012
0,95025,104,1,2,0.5,0,0,0,8,2012
0,95025,96,1,1,1.0,0,0,0,9,2012
0,95025,99,1,1,1.0,0,0,0,10,2012
0,95025,92,0,2,0.0,0,0,0,12,2012
0,95200,90,2,3,0.6666666666666666,0,0,0,2,2012
0,95200,110,0,1,0.0,0,0,0,5,2012
