,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
382,23417,2008,6,269,0,1,0.0,0,0,0
383,23417,2008,11,251,0,1,0.0,0,0,0
384,23417,2008,9,272,0,1,0.0,0,0,0
385,23419,2008,7,9,0,1,0.0,0,0,0
386,23419,2008,9,10,0,1,0.0,0,0,0
387,23466,2008,4,88,1,1,1.0,0,0,1
388,23466,2008,8,53,1,1,1.0,0,0,0
389,23466,2008,1,43,2,5,0.4,0,0,0
390,23466,2008,2,50,1,4,0.25,0,0,0
391,23466,2008,7,78,0,5,0.0,0,0,0
392,23466,2008,3,68,0,4,0.0,0,0,0
393,23466,2008,5,87,0,2,0.0,0,0,0
394,23466,2008,11,100,1,1,1.0,0,0,0
395,23466,2008,10,90,1,1,1.0,0,0,0
396,23500,2008,8,12,0,2,0.0,0,0,0
397,23500,2008,2,19,0,1,0.0,0,0,0
398,23500,2008,5,14,1,1,1.0,0,0,1
399,23555,2008,8,105,0,2,0.0,0,0,0
400,23555,2008,6,94,0,1,0.0,0,0,0
401,23555,2008,11,87,0,1,0.0,0,0,0
402,23555,2008,10,88,0,1,0.0,0,0,0
403,23574,2008,2,10,0,1,0.0,0,0,0
404,23574,2008,7,15,0,1,0.0,0,0,0
405,23574,2008,11,15,0,1,0.0,0,0,0
406,23580,2008,4,17,0,2,0.0,0,0,0
407,23580,2008,8,31,0,2,0.0,0,0,0
408,23580,2008,12,5,0,2,0.0,0,0,0
409,23580,2008,1,20,0,1,0.0,0,0,0
410,23580,2008,2,21,2,9,0.2222222222222222,0,0,0
411,23580,2008,7,21,0,5,0.0,0,0,0
412,23580,2008,6,18,0,1,0.0,0,0,0
413,23580,2008,3,14,2,3,0.6666666666666666,0,0,0
414,23580,2008,5,17,0,1,0.0,0,0,0
415,23580,2008,11,24,0,2,0.0,0,0,0
416,23580,2008,10,20,0,3,0.0,0,0,0
417,23580,2008,9,19,0,2,0.0,0,0,0
418,23586,2008,12,1,0,1,0.0,0,0,0
419,23660,2008,8,221,0,1,0.0,0,0,0
420,23660,2008,11,198,0,1,0.0,0,0,0
421,23672,2008,12,26,0,1,0.0,0,0,0
422,23672,2008,1,19,0,1,0.0,0,0,0
423,23672,2008,9,12,0,1,0.0,0,0,0
424,23675,2008,6,24,0,1,0.0,0,0,0
425,23678,2008,2,13,0,1,0.0,0,0,0
426,23807,2008,4,84,0,4,0.0,0,0,0
427,23807,2008,8,78,3,4,0.75,0,0,0
428,23807,2008,12,82,0,7,0.0,0,0,0
429,23807,2008,1,5,3,12,0.25,0,0,0
430,23807,2008,2,52,1,7,0.1428571428571428,0,0,0
431,23807,2008,7,83,4,9,0.4444444444444444,0,0,0
432,23807,2008,6,67,1,3,0.3333333333333333,0,0,0
433,23807,2008,3,59,0,5,0.0,0,0,0
434,23807,2008,5,94,0,2,0.0,0,0,0
435,23807,2008,11,80,2,5,0.4,0,0,0
436,23807,2008,10,80,3,8,0.375,0,0,0
437,23807,2008,9,72,1,3,0.3333333333333333,0,0,0
438,23815,2008,4,0,0,1,0.0,0,0,0
439,23855,2008,4,26,0,2,0.0,0,0,0
440,23855,2008,8,27,0,1,0.0,0,0,0
441,23855,2008,12,23,0,1,0.0,0,0,0
442,23855,2008,1,26,0,1,0.0,0,0,0
443,23855,2008,7,14,0,1,0.0,0,0,0
444,23855,2008,6,20,0,4,0.0,0,0,0
445,23855,2008,3,23,0,2,0.0,0,0,0
446,23855,2008,5,28,0,1,0.0,0,0,0
447,23855,2008,9,18,0,2,0.0,0,0,0
448,25035,2008,7,0,0,1,0.0,0,0,0
449,25120,2008,12,2,1,1,1.0,0,0,0
450,25120,2008,6,0,0,1,0.0,0,0,0
451,25120,2008,10,1,2,2,1.0,0,0,0
452,25120,2008,9,2,1,1,1.0,0,0,0
453,25151,2008,8,55,0,1,0.0,0,0,0
454,25168,2008,1,0,0,1,0.0,0,0,0
455,25175,2008,8,231,0,1,0.0,0,0,0
456,25258,2008,5,1,0,1,0.0,0,0,0
457,25279,2008,9,19,0,2,0.0,0,0,0
458,25290,2008,3,183,1,1,1.0,0,0,1
459,25307,2008,7,205,0,2,0.0,0,0,0
460,25307,2008,10,331,0,1,0.0,0,0,0
461,25317,2008,6,12,0,1,0.0,0,0,0
462,25320,2008,4,46,0,1,0.0,0,0,0
463,25320,2008,2,52,0,1,0.0,0,0,0
464,25377,2008,8,11,0,1,0.0,0,0,0
465,25386,2008,2,63,1,1,1.0,0,0,1
466,25386,2008,6,76,1,1,1.0,0,0,1
467,25386,2008,10,59,0,1,0.0,0,0,0
468,25430,2008,6,54,0,1,0.0,0,0,0
469,25438,2008,11,14,0,1,0.0,0,0,0
470,25506,2008,3,3,1,1,1.0,0,0,1
471,25596,2008,10,0,0,1,0.0,0,0,0
472,25645,2008,5,2,0,1,0.0,0,0,0
473,25743,2008,4,4,0,1,0.0,0,0,0
474,25745,2008,8,2,0,1,0.0,0,0,0
475,25754,2008,8,281,0,2,0.0,0,0,0
476,25754,2008,12,230,0,1,0.0,0,0,0
477,25754,2008,1,252,0,8,0.0,0,0,0
478,25754,2008,2,241,0,5,0.0,0,0,0
479,25754,2008,3,316,0,1,0.0,0,0,0
480,25815,2008,10,14,1,1,1.0,0,0,0
481,25823,2008,2,1,0,2,0.0,0,0,0
482,25839,2008,7,1,0,1,0.0,0,0,0
483,25839,2008,11,0,0,1,0.0,0,0,0
484,25845,2008,2,2,0,1,0.0,0,0,0
485,25845,2008,7,2,1,1,1.0,0,0,0
486,25875,2008,7,31,0,2,0.0,0,0,0
487,25875,2008,11,21,0,1,0.0,0,0,0
488,25878,2008,2,9,1,1,1.0,0,0,1
489,25878,2008,3,10,0,1,0.0,0,0,0
490,25885,2008,4,6,0,1,0.0,0,0,0
491,25899,2008,4,198,0,1,0.0,0,0,0
492,27001,2008,4,248,4,6,0.6666666666666666,0,0,0
493,27001,2008,8,255,0,1,0.0,0,0,0
494,27001,2008,12,315,0,2,0.0,0,0,0
495,27001,2008,1,260,0,3,0.0,0,0,0
496,27001,2008,2,229,1,2,0.5,0,0,0
497,27001,2008,7,268,3,5,0.6,0,0,0
498,27001,2008,6,244,1,2,0.5,0,0,0
499,27001,2008,3,249,2,6,0.3333333333333333,0,0,0
500,27001,2008,5,298,0,2,0.0,0,0,0
501,27001,2008,9,367,3,5,0.6,0,0,0
502,27006,2008,11,10,0,1,0.0,0,0,0
503,27025,2008,12,5,0,1,0.0,0,0,0
504,27025,2008,1,1,0,3,0.0,0,0,0
505,27025,2008,6,2,0,1,0.0,0,0,0
506,27050,2008,2,1,0,1,0.0,0,0,0
507,27050,2008,10,2,1,1,1.0,0,0,0
508,27073,2008,1,5,0,2,0.0,0,0,0
509,27073,2008,5,3,0,1,0.0,0,0,0
510,27073,2008,10,1,0,3,0.0,0,0,0
511,27075,2008,1,3,0,1,0.0,0,0,0
512,27075,2008,2,7,0,2,0.0,0,0,0
513,27075,2008,3,8,0,1,0.0,0,0,0
514,27077,2008,8,4,0,1,0.0,0,0,0
515,27077,2008,1,2,0,1,0.0,0,0,0
516,27077,2008,7,5,0,1,0.0,0,0,0
517,27077,2008,6,2,0,1,0.0,0,0,0
518,27077,2008,3,5,0,1,0.0,0,0,0
519,27077,2008,5,2,0,5,0.0,0,0,0
520,27077,2008,10,4,0,1,0.0,0,0,0
