,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
577,54800,2008,3,0,1,1,1,1.0
578,54800,2008,10,2,1,2,2,1.0
579,54810,2008,4,21,0,1,0,0.0
580,54810,2008,4,21,1,2,2,1.0
581,54810,2008,8,29,0,1,0,0.0
582,54810,2008,8,29,1,3,3,1.0
583,54810,2008,1,20,0,4,0,0.0
584,54810,2008,1,20,1,1,1,1.0
585,54810,2008,2,21,0,8,0,0.0
586,54810,2008,2,21,1,2,2,1.0
587,54810,2008,7,24,0,5,0,0.0
588,54810,2008,7,24,1,4,4,1.0
589,54810,2008,6,26,1,3,3,1.0
590,54810,2008,3,24,0,3,0,0.0
591,54810,2008,3,24,1,1,1,1.0
592,54810,2008,5,18,0,4,0,0.0
593,54810,2008,5,18,1,6,6,1.0
594,54810,2008,11,18,0,3,0,0.0
595,54810,2008,11,18,1,1,1,1.0
596,54810,2008,10,23,1,1,1,1.0
597,54820,2008,1,13,1,1,1,1.0
598,5483,2008,10,7,1,1,1,1.0
599,5495,2008,6,30,1,1,1,1.0
600,5495,2008,3,32,1,1,1,1.0
601,5495,2008,11,23,1,1,1,1.0
602,5585,2008,6,14,1,1,1,1.0
603,5585,2008,9,15,1,1,1,1.0
604,5615,2008,1,297,0,1,0,0.0
605,5615,2008,1,297,1,1,1,1.0
606,5647,2008,4,7,1,1,1,1.0
607,5647,2008,8,7,0,1,0,0.0
608,5647,2008,8,7,1,1,1,1.0
609,5647,2008,1,8,1,3,3,1.0
610,5649,2008,11,17,0,3,0,0.0
611,5649,2008,11,17,1,1,1,1.0
612,5659,2008,7,22,0,1,0,0.0
613,5659,2008,7,22,1,1,1,1.0
614,5660,2008,4,11,1,1,1,1.0
615,5660,2008,3,6,1,1,1,1.0
616,5660,2008,10,15,1,2,2,1.0
617,5665,2008,1,33,0,3,0,0.0
618,5665,2008,1,33,1,1,1,1.0
619,5665,2008,3,45,0,2,0,0.0
620,5665,2008,3,45,1,1,1,1.0
621,5667,2008,8,12,0,1,0,0.0
622,5667,2008,8,12,1,2,2,1.0
